[ 2017-10-30T10:03:16+08:00 ] 39.71.157.8 /admin.php
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.000000s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000000s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000976s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000000s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000000s ]
INFO: Run Behavior\ParseTemplateBehavior [ RunTime:0.005860s ]
INFO: [ view_parse ] --END-- [ RunTime:0.006836s ]
INFO: [ view_filter ] --START--
INFO: Run Behavior\WriteHtmlCacheBehavior [ RunTime:0.000000s ]
INFO: [ view_filter ] --END-- [ RunTime:0.000000s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.000977s ]
INFO: [ app_end ] --END-- [ RunTime:0.000977s ]

[ 2017-10-30T10:04:11+08:00 ] 123.232.80.239 /admin.php
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.000000s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000000s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000000s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000000s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000977s ]
INFO: Run Behavior\ParseTemplateBehavior [ RunTime:0.006837s ]
INFO: [ view_parse ] --END-- [ RunTime:0.006837s ]
INFO: [ view_filter ] --START--
INFO: Run Behavior\WriteHtmlCacheBehavior [ RunTime:0.000000s ]
INFO: [ view_filter ] --END-- [ RunTime:0.000000s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.000000s ]
INFO: [ app_end ] --END-- [ RunTime:0.000976s ]

[ 2017-10-30T10:04:19+08:00 ] 123.232.80.239 /admin.php/Login/login_do
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.000976s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000976s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000976s ]
SQL: SHOW COLUMNS FROM `class_admin` [ RunTime:0.0020s ]
SQL: SELECT * FROM `class_admin` WHERE ( admin='admin' and password='202cb962ac59075b964b07152d234b70' ) LIMIT 1   [ RunTime:0.0010s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.000977s ]
INFO: [ app_end ] --END-- [ RunTime:0.000977s ]

[ 2017-10-30T10:04:20+08:00 ] 123.232.80.239 /admin.php/Index/index
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.000976s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000976s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000976s ]
SQL: SHOW COLUMNS FROM `class_student` [ RunTime:0.0020s ]
SQL: SELECT * FROM `class_student` ORDER BY add_time desc  [ RunTime:0.0068s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000977s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000977s ]
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
NOTIC: [8] Undefined index: news_img1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 176 行.
NOTIC: [8] Undefined index: content1 C:\wamp\www\class\app\Runtime\Cache\Admin\b49c3ad1254b8c59aaf157751fc7ab57.php 第 177 行.
